epoch;Train_Acc;Train_Loss;Train_MSE;Val_Acc;Val_Loss;Val_MSE;Run
10;0.931909941175;0.199314020399;NA;0.927216283003;0.21018727797;NA;Batch32
11;0.932626937014;0.197577034877;NA;0.92534747099;0.213411791884;NA;Batch32
12;0.933295070164;0.195961596515;NA;0.925671662634;0.212890234815;NA;Batch32
13;0.933887568279;0.194541234947;NA;0.926160920505;0.211870729541;NA;Batch32
14;0.934345448194;0.193359949756;NA;0.926310885607;0.211269598955;NA;Batch32
15;0.934899559622;0.19212723228;NA;0.925933851376;0.212466942728;NA;Batch32
16;0.935317097177;0.190974798729;NA;0.926593599924;0.213114114476;NA;Batch32
17;0.935772143065;0.189863591607;NA;0.925273930062;0.216225088071;NA;Batch32
18;0.93613632432;0.188912755751;NA;0.926043355478;0.212496596378;NA;Batch32
19;0.936489992475;0.187982074314;NA;0.925611098332;0.213762108624;NA;Batch32
